image_path,fruit_type,state,split
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 4.59.36 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 4.59.49 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 4.59.57 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.00.03 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.00.12 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.00.18 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.00.26 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.00.35 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.00.43 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.00.50 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.01.01 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.01.08 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.01.29 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.01.34 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.02.08 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.02.24 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.02.31 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.02.38 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.02.48 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.02.54 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.03.05 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.03.10 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.03.17 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.03.26 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.03.34 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.03.47 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.03.59 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.04.05 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.04.11 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.04.31 PM.png,apples,fresh,train
/hy-tmp/fruit_classifier/dataset/train/freshapples/Screen Shot 2018-06-08 at 5.04.42 PM.png,apples,fresh,train
